strekkode;vare;beskrivelse;kategori;enhet
0087703078314;Original Topokki;Wang Korea;mat;stk
0087703078321;Extreme Spicy Topokki Carbonara;Wang Korea;mat;stk
0088005000430;Kinder Maxi;Kinder;mat;stk
0090452341424;Honeycomb;Fru Nelik;mat;stk
0090478001043;Mandarin 370 ml;Jarritos;mat;stk
0090478001067;Jarritos Lime 0,37 l l;Paafyll AS;mat;stk
0090478001128;Jarritos Pineapple 0,37 l l;Paafyll AS;mat;stk
0093856994968;Thai Papaya Salad Dressing;Samui;mat;stk
0093856994975;Fried Rice Sauce;Samui;mat;stk
0094444024760;Tynn 70% Kakao;Freia;mat;stk
0098065006761;Kjøttdeig Storfe;Fatland Ølen AS;mat;stk
01012989;Crunchy Peanut butter 350 g;Coop;mat;stk
01208801;dew;Mountain Dew;mat;stk
0123113052824;Bergen Dubai style cookies;;mat;stk
01335095;Skumpåskeharer 650g;Knallgodt;mat;stk
0194283100325;Håndlaget Potetchips havsalt 40g;Circle K;mat;stk
0194283100356;Håndlaget Potetchips jalapeño 40g;Circle K;mat;stk
0194283100561;Tender Beef Jerky Asian 25g;Circle K;mat;stk
0194283100592;Tender Beef Jerky Hot 25g;Circle K;mat;stk
0194283100622;Tender Beef Jerky Smoky 25g;Circle K;mat;stk
0194283104194;håndlaget potetchips jalapeno;Circle K;mat;stk
0194283104934;nuts & fruits Roasted peanuts, jumbo raisins, cashew nuts and candied pineapple 60g;Circle K;mat;stk
0194283104965;nuts & berries Cashew nuts, Cranberries, raisins and roasted peanuts 60g;Circle K;mat;stk
0194283105856;Håndlaget Potetchips grillkrydder 40g;Circle K;mat;stk
0194283302217;Extremum Energy Drink Original 250ml;Extremum;drikke;stk
0194283552056;fruit chews 3 x 38g;Circle K;mat;stk
0194283552094;mint chews 3 x 38g;Circle K;mat;stk
0200001756818;Vingummi Solbær Drysset Med Jordbær;Mester Grønn;mat;stk
0200024009939;Pop candy blueberry flavour 15 g;Flying Tiger;mat;stk
0200030008445;Cynamon 60 g;Flying Tiger Copenhagen;mat;stk
0200030013920;kakaokiks 176g;tyger;mat;stk
0200030214884;Milk chocolate;107g;drikke;stk
0200030530816;Macarons 84 g;;mat;stk
0200030659388;Apple And Cinnamon Popcorn;Flying Tiger;mat;stk
0200030661626;Marshmallow Mushrooms;Tiger;mat;stk
0200030661664;Pumpkin spice muffins;Tgr;mat;stk
0200030679089;Caramel-filled Marsmallows;Tiger;mat;stk
